Id,SalePrice
1461,110931.15625
1462,157180.5
1463,173781.40625
1464,193111.25
1465,179024.84375
1466,158616.375
1467,186444.6875
1468,159534.125
1469,175121.9375
1470,119079.578125
1471,213589.84375
1472,94270.609375
1473,94874.25
1474,138442.140625
1475,114133.0703125
1476,355546.6875
1477,227164.09375
1478,257106.078125
1479,291802.125
1480,431425.90625
1481,284224.21875
1482,186273.6875
1483,173538.078125
1484,162868.078125
1485,159666.5
1486,183420.0625
1487,433016.34375
1488,227828.1875
1489,189491.0625
1490,254638.34375
1491,181156.34375
1492,76376.578125
1493,157723.96875
1494,286299.6875
1495,254462.71875
1496,280768.15625
1497,177278.25
1498,162296.21875
1499,158925.15625
1500,151563.21875
1501,164922.234375
1502,151244.84375
1503,288484.5625
1504,226884.65625
1505,225346.109375
1506,173932.1875
1507,253717.765625
1508,193030.015625
1509,148506.234375
1510,135542.03125
1511,131997.828125
1512,166453.0625
1513,136727.03125
1514,164304.125
1515,193582.765625
1516,149749.3125
1517,153627.953125
1518,117243.4140625
1519,221681.046875
1520,129109.8125
1521,142175.109375
1522,152750.015625
1523,104252.234375
1524,119340.3828125
1525,120870.703125
1526,108054.7734375
1527,96665.96875
1528,135767.21875
1529,136072.59375
1530,154569.546875
1531,100182.8671875
1532,110376.5859375
1533,181558.90625
1534,122563.453125
1535,168900.6875
1536,112242.453125
1537,49893.32421875
1538,152515.9375
1539,188281.8125
1540,122465.9296875
1541,131291.0
1542,145700.640625
1543,185918.6875
1544,71975.7421875
1545,94245.9453125
1546,131748.875
1547,121705.453125
1548,118543.484375
1549,112848.34375
1550,122956.9765625
1551,114927.0
1552,121051.8984375
1553,155434.21875
1554,115211.78125
1555,171427.078125
1556,86568.546875
1557,106206.953125
1558,99333.296875
1559,102395.4140625
1560,113673.4140625
1561,149647.1875
1562,140488.484375
1563,119275.21875
1564,174675.1875
1565,124347.109375
1566,237565.125
1567,69267.9375
1568,228103.75
1569,147375.3125
1570,126142.40625
1571,119310.546875
1572,134714.75
1573,287136.46875
1574,116221.171875
1575,237408.046875
1576,299493.53125
1577,171452.421875
1578,117398.921875
1579,143218.125
1580,193450.75
1581,151665.96875
1582,126538.953125
1583,319381.6875
1584,198965.515625
1585,138291.8125
1586,60454.86328125
1587,83762.6875
1588,136774.6875
1589,96105.90625
1590,140859.0
1591,99180.2265625
1592,132420.53125
1593,112996.375
1594,176717.078125
1595,115527.5546875
1596,211810.8125
1597,180280.21875
1598,182778.5625
1599,153233.0
1600,157569.421875
1601,73786.453125
1602,114764.984375
1603,87193.1796875
1604,281963.1875
1605,226052.046875
1606,163805.953125
1607,166651.734375
1608,206065.109375
1609,177448.75
1610,134876.734375
1611,118155.0625
1612,180180.5
1613,154355.6875
1614,124525.828125
1615,86564.203125
1616,65127.6640625
1617,92564.6484375
1618,125787.34375
1619,148663.796875
1620,155788.96875
1621,123792.046875
1622,142702.25
1623,251381.75
1624,231140.75
1625,116069.15625
1626,151885.546875
1627,188184.1875
1628,256609.171875
1629,161179.90625
1630,391487.21875
1631,197891.5
1632,226322.1875
1633,155560.28125
1634,191664.609375
1635,161263.875
1636,148531.65625
1637,208702.375
1638,172309.46875
1639,164245.796875
1640,219951.9375
1641,170534.03125
1642,246505.375
1643,205153.34375
1644,215082.703125
1645,238378.71875
1646,144847.9375
1647,150974.28125
1648,118000.8046875
1649,137880.71875
1650,119263.5859375
1651,120967.953125
1652,92130.9375
1653,97684.6796875
1654,138148.53125
1655,136744.34375
1656,142063.4375
1657,141724.9375
1658,137579.765625
1659,111737.96875
1660,151812.453125
1661,398646.71875
1662,349729.75
1663,353703.375
1664,458129.25
1665,282706.59375
1666,338820.25
1667,340664.46875
1668,333618.0625
1669,307641.90625
1670,344761.125
1671,255596.984375
1672,408805.75
1673,251360.25
1674,225442.6875
1675,198008.5625
1676,210291.65625
1677,193199.65625
1678,465095.1875
1679,353632.5625
1680,318300.4375
1681,223133.609375
1682,274502.3125
1683,176495.78125
1684,162831.625
1685,170158.53125
1686,168747.1875
1687,155939.046875
1688,178415.59375
1689,184806.078125
1690,187094.28125
1691,174999.109375
1692,265241.65625
1693,141774.703125
1694,172812.03125
1695,152810.59375
1696,245330.9375
1697,152813.5
1698,302966.65625
1699,363956.65625
1700,217210.40625
1701,224990.96875
1702,236537.90625
1703,225336.4375
1704,301508.1875
1705,224461.8125
1706,425682.75
1707,208205.578125
1708,192198.046875
1709,247978.609375
1710,210223.953125
1711,252329.78125
1712,252352.34375
1713,284820.6875
1714,234335.125
1715,207811.765625
1716,182377.359375
1717,163746.453125
1718,137305.21875
1719,192220.65625
1720,272657.875
1721,157463.6875
1722,141178.90625
1723,146747.875
1724,212703.0
1725,225239.1875
1726,175580.65625
1727,148595.484375
1728,150235.640625
1729,142874.703125
1730,143621.25
1731,133543.84375
1732,133361.1875
1733,117260.1953125
1734,119227.640625
1735,133158.375
1736,145969.625
1737,320621.78125
1738,227268.40625
1739,272556.375
1740,244620.484375
1741,194923.015625
1742,157684.359375
1743,158839.75
1744,323180.28125
1745,212108.125
1746,178945.5625
1747,185913.671875
1748,206771.25
1749,143817.6875
1750,129397.6484375
1751,220020.78125
1752,120625.65625
1753,128332.546875
1754,186988.0625
1755,157156.234375
1756,129162.921875
1757,121377.90625
1758,130498.703125
1759,153360.296875
1760,141406.1875
1761,140609.015625
1762,166036.953125
1763,148624.96875
1764,103877.84375
1765,189488.96875
1766,176210.9375
1767,228885.09375
1768,133233.71875
1769,170936.015625
1770,136640.40625
1771,118600.671875
1772,117734.21875
1773,129346.21875
1774,128091.296875
1775,119511.0
1776,119592.734375
1777,122380.484375
1778,133245.4375
1779,108840.0625
1780,158807.84375
1781,122220.53125
1782,86203.5546875
1783,134169.84375
1784,88804.7109375
1785,120226.9609375
1786,128733.484375
1787,152249.078125
1788,60466.6875
1789,82949.7734375
1790,74175.984375
1791,180088.90625
1792,161546.109375
